"KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Tristis"
"Animalia","Chordata","Aves","Anseriformes","Anatidae","Aix","Galericulata"
"Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Americana"
"Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Clypeata"
"Animalia","Chordata","Aves","Apodiformes","Trochilidae","Anthracothorax","Nigricollis"
"Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Hodgsoni"
"Animalia","Chordata","Aves","Passeriformes","Corvidae","Aphelocoma","Coerulescens"
"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Cinerea"
"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Bulleri"
"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Interpres"
"Animalia","Chordata","Aves","Coraciiformes","Momotidae","Aspatha","Gularis"
"Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Cunicularia"
"Animalia","Chordata","Aves","Passeriformes","Remizidae","Auriparus","Flaviceps"
"Animalia","Chordata","Aves","Passeriformes","Paridae","Baeolophus","Bicolor"
"Animalia","Chordata","Aves","Galliformes","Phasianidae","Bonasa","Umbellus"
"Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","Bernicla"
"Animalia","Chordata","Aves","Strigiformes","Strigidae","Bubo","Scandiacus"
"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Lagopus"
"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Ruficollis"
"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis"
"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Cepphus","Columba"
"Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Semipalmatus"
"Animalia","Chordata","Aves","Galliformes","Phasianidae","Chrysolophus","Amherstiae"
"Animalia","Chordata","Aves","Passeriformes","Estrildidae","Clytospiza","Monteiri"
"Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus","Erythropthalmus"
"Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Monedula"
"Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Frugilegus"
"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Daption","Capense"
"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Elaenia","Flavogaster"
"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Cioides"
"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Citrinella"
"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Hortulana"
"Animalia","Chordata","Aves","Passeriformes","Icteridae","Euphagus","Cyanocephalus"
"Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Sparverius"
"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Fulmarus","Glacialoides"
"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Purpureus"
"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Hieraaetus","Pennatus"
"Animalia","Chordata","Aves","Piciformes","Picidae","Jynx","Ruficollis"
"Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Excubitor"
"Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Schach"
"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Marinus"
"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus","Griseus"
"Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Svecica"
"Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","Carolinus"
"Animalia","Chordata","Aves","Passeriformes","Alaudidae","Melanocorypha","Yeltoniensis"
"Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops","Superciliosus"
"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Monachus"
"Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Castro"
"Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Monorhis"
"Animalia","Chordata","Aves","Otidiformes","Otididae","Otis","Tarda"
"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Desolata"
"Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Domesticus"
"Animalia","Chordata","Aves","Passeriformes","Campephagidae","Pericrocotus","Flammeus"
"Animalia","Chordata","Aves","Phaethontiformes","Phaethontidae","Phaethon","Aethereus"
"Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Auritus"
"Animalia","Chordata","Aves","Procellariiformes","Diomedeidae","Phoebastria","Nigripes"
"Animalia","Chordata","Aves","Procellariiformes","Diomedeidae","Phoebetria","Fusca"
"Animalia","Chordata","Aves","Piciformes","Picidae","Picoides","Tridactylus"
"Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Viridis"
"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Pinicola","Enucleator"
"Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Squatarola"
"Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Gambeli"
"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Progne","Subis"
"Animalia","Chordata","Aves","Passeriformes","Parulidae","Protonotaria","Citrea"
"Animalia","Chordata","Aves","Pterocliformes","Pteroclidae","Pterocles","Exustus"
"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Leucoptera"
"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Mollis"
"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Neglecta"
"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Gravis"
"Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Longirostris"
"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia"
"Animalia","Chordata","Aves","Charadriiformes","Laridae","Rissa","Tridactyla"
"Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Sarcoramphus","Papa"
"Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Fusca"
"Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Pygmaea"
"Animalia","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Magna"
"Animalia","Chordata","Aves","Suliformes","Sulidae","Sula","Nebouxii"
"Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Borin"
"Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Curruca"
"Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Nisoria"
"Animalia","Chordata","Aves","Galliformes","Phasianidae","Tetraogallus","Caucasicus"
"Animalia","Chordata","Aves","Passeriformes","Thraupidae","Tiaris","Olivaceus"
"Animalia","Chordata","Aves","Passeriformes","Tityridae","Tityra","Semifasciata"
"Animalia","Chordata","Aves","Passeriformes","Mimidae","Toxostoma","Longirostre"
"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Trigonoceps","Occipitalis"
"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Totanus"
"Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Grayi"
"Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Iliacus"
"Animalia","Chordata","Aves","Galliformes","Phasianidae","Tympanuchus","Cupido"
"Animalia","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Alba"
"Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Olivaceus"
"Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Vultur","Gryphus"
"Animalia","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Macroura"
"Animalia","Chordata","Aves","Passeriformes","Corvidae","Aphelocoma","Ultramarina"
"Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Pleschanka"
"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Guttatus"
"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Minimus"
"Animalia","Chordata","Aves","Passeriformes","Estrildidae","Estrilda","Astrild"
"Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Mystacea"
"Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Townsendi"
